iter	RMSE
0	19.60362298
1	17.6846031
2	15.97093951
3	14.42666721
4	13.06390265
5	11.83605835
6	10.7444521
7	9.768849096
8	8.910817483
9	8.14874766
10	7.473772321
11	6.876690422
12	6.344448246
13	5.881277124
14	5.473192416
15	5.122609195
16	4.823198707
17	4.565432625
18	4.339610095
19	4.148416302
20	3.982984372
21	3.844696884
22	3.727829436
23	3.629968792
24	3.548530659
25	3.479525392
26	3.420942791
27	3.371679109
28	3.330414754
29	3.296230056
30	3.268313006
31	3.242918836
32	3.222891262
33	3.205555985
34	3.191744708
35	3.179584809
36	3.169824284
37	3.160052893
38	3.153166468
39	3.14736485
40	3.142450204
41	3.138493876
42	3.134979749
43	3.130941677
44	3.128169403
45	3.124963766
46	3.122913079
47	3.119832594
48	3.117439156
49	3.116047807
50	3.114961852
51	3.113958843
52	3.112916589
53	3.112001202
54	3.110334131
55	3.108704543
56	3.107400827
57	3.106710765
58	3.1059205
59	3.104939371
60	3.104210534
61	3.103454419
62	3.102801754
63	3.102298916
64	3.101540079
65	3.101043996
66	3.100778665
67	3.100295934
68	3.099821281
69	3.099511721
70	3.098920122
71	3.098208842
72	3.097792753
73	3.097252829
74	3.096855876
75	3.096418825
76	3.09579491
77	3.095594456
78	3.095264352
79	3.094999305
80	3.094752867
81	3.094602935
82	3.094271949
83	3.094029888
84	3.093764548
85	3.093534701
86	3.093358247
87	3.093051351
88	3.092856151
89	3.092597844
90	3.092455253
91	3.091873283
92	3.091720957
93	3.091500069
94	3.091274623
95	3.090914238
96	3.090650019
97	3.090359793
98	3.090180314
99	3.090067156
100	3.089966549
101	3.089639475
102	3.089389685
103	3.089247124
104	3.08911658
105	3.08897261
106	3.088833563
107	3.088640589
108	3.088513864
109	3.088257371
110	3.088084382
111	3.087756091
112	3.087599402
113	3.087226097
114	3.08682259
115	3.086627615
116	3.086462345
117	3.08625023
118	3.086086523
119	3.085859332
120	3.085770512
121	3.085725413
122	3.085525192
123	3.085183904
124	3.084923616
125	3.084626451
126	3.084412955
127	3.084147315
128	3.083885783
129	3.0836694
130	3.08347128
131	3.08329073
132	3.083014752
133	3.0828058
134	3.082572615
135	3.0823973
136	3.082234449
137	3.082163709
138	3.082032911
139	3.081935722
140	3.081737548
141	3.08156676
142	3.081330328
143	3.081208206
144	3.081005969
145	3.080895575
146	3.080721902
147	3.080628823
148	3.080486445
149	3.080292871
150	3.080082265
151	3.079903622
152	3.079733638
153	3.079621288
154	3.079446287
155	3.079288754
156	3.079172517
157	3.079018536
158	3.078756361
159	3.078624999
160	3.078475902
161	3.07833547
162	3.078245857
163	3.078139318
164	3.078042907
165	3.077943077
166	3.077756815
167	3.077686655
168	3.077465059
169	3.077363771
170	3.077163021
171	3.077048955
172	3.076961309
173	3.076872651
174	3.076734557
175	3.076561142
176	3.076425436
177	3.076322713
178	3.076208378
179	3.076094247
180	3.075964288
181	3.0758785
182	3.07574495
183	3.07560451
184	3.07546385
185	3.075340615
186	3.075263562
187	3.075108493
188	3.074944251
189	3.074853504
190	3.07476002
191	3.074644032
192	3.074585011
193	3.074475388
194	3.07441164
195	3.074377792
196	3.07430226
197	3.074134676
198	3.073965996
199	3.073891337
200	3.073754751
201	3.073599548
202	3.073517838
203	3.07347568
204	3.073369056
205	3.073290883
206	3.073137902
207	3.073016567
208	3.07290134
209	3.072828896
210	3.072708148
211	3.072435237
212	3.072348425
213	3.072293183
214	3.072200058
215	3.07210761
216	3.071982572
217	3.071892484
218	3.071840372
219	3.071806278
220	3.071642481
221	3.071554686
222	3.071415036
223	3.071337174
224	3.071256935
225	3.071208705
226	3.071082479
227	3.071029559
228	3.070923827
229	3.070852989
230	3.070753921
231	3.070654486
232	3.070528985
233	3.070404548
234	3.070332622
235	3.070258081
236	3.070170288
237	3.070073679
238	3.069956421
239	3.069888271
240	3.06984804
241	3.06978396
242	3.06971532
243	3.069632494
244	3.069546006
245	3.069496285
246	3.069434738
247	3.069365238
248	3.069246794
249	3.069167562
250	3.069053725
251	3.068992989
252	3.068930342
253	3.068873619
254	3.068746783
255	3.068678395
256	3.068601524
257	3.068527897
258	3.068477067
259	3.068419463
260	3.068365562
261	3.068302156
262	3.068205867
263	3.068140735
264	3.068083721
265	3.06800718
266	3.067948256
267	3.067912476
268	3.067850523
269	3.067789967
270	3.067725986
271	3.067688083
272	3.067618873
273	3.06756046
274	3.067442027
275	3.067376218
276	3.067328308
277	3.067272417
278	3.067180228
279	3.067128345
280	3.067069827
281	3.067015337
282	3.066940294
283	3.066871463
284	3.066775661
285	3.066689157
286	3.066647883
287	3.06644994
288	3.066440702
289	3.066339861
290	3.06624887
291	3.066194743
292	3.066128151
293	3.066068535
294	3.066000714
295	3.065936335
296	3.065849251
297	3.065760795
298	3.065697474
299	3.065608878
300	3.065565144
301	3.065511989
302	3.065448071
303	3.065424791
304	3.065390691
305	3.065297385
306	3.065200668
307	3.06513491
308	3.065099642
309	3.065034603
310	3.064953481
311	3.064888742
312	3.064798721
313	3.064740768
314	3.064687373
315	3.064636076
316	3.064566225
317	3.064493296
318	3.064429721
319	3.064364618
320	3.064327655
321	3.064267618
322	3.06422376
323	3.064171709
324	3.06411026
325	3.064071668
326	3.063997914
327	3.063951094
328	3.063904722
329	3.063836514
330	3.063721932
