iter	Passed	Remaining
0	223	223632
1	250	125092
2	276	91898
3	303	75461
4	334	66520
5	364	60427
6	387	54953
7	415	51576
8	443	48781
9	471	46638
10	495	44524
11	520	42894
12	546	41454
13	604	42571
14	640	42054
15	673	41428
16	703	40653
17	730	39863
18	759	39191
19	786	38538
20	814	37974
21	848	37735
22	878	37300
23	908	36959
24	935	36469
25	963	36089
26	989	35651
27	1011	35102
28	1037	34752
29	1060	34285
30	1085	33936
31	1121	33938
32	1145	33559
33	1171	33296
34	1194	32925
35	1220	32678
36	1245	32427
37	1270	32168
38	1296	31943
39	1324	31779
40	1354	31676
41	1382	31543
42	1407	31318
43	1437	31234
44	1460	31002
45	1488	30877
46	1513	30680
47	1539	30539
48	1569	30464
49	1593	30268
50	1621	30167
51	1651	30110
52	1674	29922
53	1702	29821
54	1728	29695
55	1757	29627
56	1785	29535
57	1809	29393
58	1835	29281
59	1860	29142
60	1888	29072
61	1916	28996
62	1940	28865
63	1968	28794
64	1997	28728
65	2022	28617
66	2048	28532
67	2072	28411
68	2103	28385
69	2129	28295
70	2173	28438
71	2205	28429
72	2240	28451
73	2267	28376
74	2298	28344
75	2323	28249
76	2352	28194
77	2383	28169
78	2417	28181
79	2448	28161
80	2479	28133
81	2503	28031
82	2532	27981
83	2564	27968
84	2592	27905
85	2618	27829
86	2640	27711
87	2666	27633
88	2701	27651
89	2729	27594
90	2758	27553
91	2785	27490
92	2812	27427
93	2841	27387
94	2868	27323
95	2900	27313
96	2930	27277
97	2968	27325
98	2995	27257
99	3021	27196
100	3046	27116
101	3105	27344
102	3134	27294
103	3164	27263
104	3188	27182
105	3213	27098
106	3240	27042
107	3265	26968
108	3291	26906
109	3320	26866
110	3350	26831
111	3382	26818
112	3412	26783
113	3443	26765
114	3481	26790
115	3518	26810
116	3546	26765
117	3575	26722
118	3605	26695
119	3635	26660
120	3659	26581
121	3680	26485
122	3703	26406
123	3728	26337
124	3753	26276
125	3780	26225
126	3809	26183
127	3836	26139
128	3863	26086
129	3887	26018
130	3910	25940
131	3933	25868
132	3956	25792
133	3977	25707
134	4003	25648
135	4027	25586
136	4050	25517
137	4071	25433
138	4093	25353
139	4115	25280
140	4137	25209
141	4158	25124
142	4180	25054
143	4201	24974
144	4229	24938
145	4252	24872
146	4276	24813
147	4299	24751
148	4323	24692
149	4347	24638
150	4370	24575
151	4392	24505
152	4412	24426
153	4433	24354
154	4457	24300
155	4480	24238
156	4501	24172
157	4523	24103
158	4548	24057
159	4570	23994
160	4592	23932
161	4613	23864
162	4637	23811
163	4659	23750
164	4680	23685
165	4701	23618
166	4729	23590
167	4753	23542
168	4783	23520
169	4807	23472
170	4834	23437
171	4862	23409
172	4887	23365
173	4913	23326
174	4945	23315
175	4970	23270
176	4999	23246
177	5024	23203
178	5049	23160
179	5082	23155
180	5109	23119
181	5134	23079
182	5161	23042
183	5190	23020
184	5219	22995
185	5243	22945
186	5267	22901
187	5303	22908
188	5338	22908
189	5363	22866
190	5391	22837
191	5415	22789
192	5440	22750
193	5467	22714
194	5492	22672
195	5514	22622
196	5540	22582
197	5568	22554
198	5594	22519
199	5618	22474
200	5645	22443
201	5670	22402
202	5695	22360
203	5719	22316
204	5747	22290
205	5772	22250
206	5800	22220
207	5825	22183
208	5861	22183
209	5885	22142
210	5917	22126
211	5940	22081
212	5967	22049
213	5995	22019
214	6021	21985
215	6049	21958
216	6089	21973
217	6131	21995
218	6155	21953
219	6182	21919
220	6209	21887
221	6235	21850
222	6263	21823
223	6287	21781
224	6315	21752
225	6338	21707
226	6369	21690
227	6403	21682
228	6432	21658
229	6455	21611
230	6479	21569
231	6508	21545
232	6536	21516
233	6564	21487
234	6586	21441
235	6612	21406
236	6640	21378
237	6672	21364
238	6700	21336
239	6727	21303
240	6750	21258
241	6777	21227
242	6800	21184
243	6828	21156
244	6855	21125
245	6878	21082
246	6909	21065
247	6937	21036
248	6964	21006
249	6991	20973
250	7017	20941
251	7044	20910
252	7071	20878
253	7099	20851
254	7124	20815
255	7148	20774
256	7178	20754
257	7202	20713
258	7229	20684
259	7255	20649
260	7280	20614
261	7310	20592
262	7334	20554
263	7361	20522
264	7384	20481
265	7411	20452
266	7442	20432
267	7467	20395
268	7495	20369
269	7518	20327
270	7543	20292
271	7568	20256
272	7596	20229
273	7625	20205
274	7657	20187
275	7690	20173
276	7721	20153
277	7752	20134
278	7779	20104
279	7804	20067
280	7831	20037
281	7857	20006
282	7889	19987
283	7914	19954
284	7944	19930
285	7967	19890
286	7987	19844
287	8007	19797
288	8028	19750
289	8051	19712
290	8074	19672
291	8099	19637
292	8124	19603
293	8167	19613
294	8189	19572
295	8212	19531
296	8236	19495
297	8260	19459
298	8284	19422
299	8309	19388
300	8332	19349
301	8358	19318
302	8379	19274
303	8399	19229
304	8417	19181
305	8436	19133
306	8457	19090
307	8477	19047
308	8496	18999
309	8516	18955
310	8536	18912
311	8556	18869
312	8579	18831
313	8601	18792
314	8623	18753
315	8645	18712
316	8667	18674
317	8690	18637
318	8712	18598
319	8732	18557
320	8752	18514
321	8771	18469
322	8793	18431
323	8816	18394
324	8840	18360
325	8864	18327
326	8892	18301
327	8921	18277
328	8947	18248
329	8974	18221
330	9004	18200
331	9031	18171
332	9063	18154
333	9088	18123
334	9114	18093
335	9145	18073
336	9172	18046
337	9196	18011
338	9219	17976
339	9247	17951
340	9279	17933
341	9305	17904
342	9332	17876
343	9354	17838
344	9381	17810
345	9403	17774
346	9429	17745
347	9454	17713
348	9481	17685
349	9505	17653
350	9529	17619
351	9557	17594
352	9583	17565
353	9607	17532
354	9627	17491
355	9649	17456
356	9671	17419
357	9693	17382
358	9713	17343
359	9733	17303
360	9757	17271
361	9777	17232
362	9802	17201
363	9825	17168
364	9849	17136
365	9869	17096
366	9893	17064
367	9916	17030
368	9939	16996
369	9959	16958
370	9981	16922
371	10003	16886
372	10025	16853
373	10046	16815
374	10068	16780
375	10089	16744
376	10110	16708
377	10135	16677
378	10157	16643
379	10180	16610
380	10204	16579
381	10225	16543
382	10246	16506
383	10269	16473
384	10290	16437
385	10311	16402
386	10334	16370
387	10355	16333
388	10375	16296
389	10401	16269
390	10425	16238
391	10447	16204
392	10487	16198
393	10511	16167
394	10537	16140
395	10559	16105
396	10578	16068
397	10600	16033
398	10621	15998
399	10641	15962
400	10665	15931
401	10686	15896
402	10705	15859
403	10725	15823
404	10747	15789
405	10768	15754
406	10789	15720
407	10809	15684
408	10832	15653
409	10854	15619
410	10877	15587
411	10897	15552
412	10919	15519
413	10937	15481
414	10959	15448
415	10979	15413
416	11001	15380
417	11020	15344
418	11043	15313
419	11065	15281
420	11085	15245
421	11105	15210
422	11126	15177
423	11147	15144
424	11170	15112
425	11189	15076
426	11206	15037
427	11226	15003
428	11248	14972
429	11270	14939
430	11289	14903
431	11310	14871
432	11331	14837
433	11350	14802
434	11370	14768
435	11392	14736
436	11412	14703
437	11431	14667
438	11452	14635
439	11472	14601
440	11493	14569
441	11512	14533
442	11533	14501
443	11554	14468
444	11575	14436
445	11599	14407
446	11623	14379
447	11642	14345
448	11662	14311
449	11685	14281
450	11705	14248
451	11725	14215
452	11744	14182
453	11765	14149
454	11785	14117
455	11810	14089
456	11831	14058
457	11851	14025
458	11872	13993
459	11894	13963
460	11917	13933
461	11938	13902
462	11957	13868
463	11977	13836
464	11997	13803
465	12019	13773
466	12039	13741
467	12060	13709
468	12081	13678
469	12103	13649
470	12125	13618
471	12145	13586
472	12168	13557
473	12191	13528
474	12213	13498
475	12233	13467
476	12255	13436
477	12274	13404
478	12294	13372
479	12314	13340
480	12335	13309
481	12354	13277
